Ravens	Vocab	DSpan	Arith	WordSum
-0.108683164	-0.46693773	-0.177839881	-0.080931127	-0.070650263
-0.146476455	-0.278261934	-0.273882553	-0.154120074	0.092717293
-0.639913963	-0.929529404	-1.407963429	-1.58897409	-1.993461644
0.021503401	-0.255225297	0.097330513	-0.117444884	-0.380906486
0.95296644	0.597227273	0.572503844	0.58875522	0.668756605
0.149603299	-0.261564536	0.006363196	0.100363402	0.051764352
0.09468552	-0.198722427	0.034307362	-0.066691823	-0.142841023
0.201354022	0.457700631	0.355699814	0.738353545	0.703997583
-0.04293448	-0.205843333	0.119398581	0.107498769	0.238597539
0.110203804	0.441956116	0.666673878	0.777924312	0.525470177
-0.808199431	-0.615450185	-0.558298131	-0.692452275	-0.411260482
0.061361918	0.088886514	0.039080387	0.207651271	0.030381417
-0.542696165	-0.885919229	-0.834440844	-1.180016081	-1.205392774
-0.466925766	-0.863552473	-0.521241149	-0.759869771	-0.684398825
-0.565951343	-0.573234619	-0.941301322	-0.666406864	-0.703326741
-0.262921313	-0.735903916	-0.543722502	-0.568074777	-0.760655646
0.027138335	-0.229295951	-0.628210352	0.019244786	-0.163948207
-0.370837424	0.128642575	-0.040814947	-0.173680721	0.04757175
0.422698653	0.420187618	0.770977956	1.00835385	1.208140299
0.370261454	0.750984641	0.410456382	0.21593368	0.76364638
-0.216053071	-0.343824867	-0.446485528	-0.7235765	-0.511532633
-0.208205487	-0.147015375	-0.322251575	-0.75717661	-0.212296721
-0.907586179	-0.493544777	-0.542964155	-1.270502035	-0.802451957
-0.480169383	-0.415250752	-0.52384221	-0.906855186	-1.059971786
-0.400856717	-0.564684368	-0.353576255	-0.999158239	-0.938658952
-1.330629467	-1.267822943	-1.797829478	-1.373978113	-1.705009256
-0.14746424	-0.47235332	0.15546139	0.071837161	-0.027443523
0.451052062	0.61861832	0.288373052	0.937160073	0.513801814
0.663713442	0.661944868	1.046676063	1.23373785	1.313655811
-0.119701341	-0.212480892	-0.232441403	-0.467274308	-0.223507207
0.401565577	0.269674877	0.195622847	0.367785861	0.532904425
0.219884439	-0.368798625	0.233993223	-0.086831777	-0.168192868
0.428726008	0.63118481	0.979769184	1.024946199	0.671900675
0.410397141	0.337771272	0.152465267	0.465701447	0.103577926
-0.014524163	-0.268579374	-0.138021607	0.123780178	-0.135793388
-0.089437187	-0.120545227	-0.386843429	-0.074995757	-0.693765383
-0.481013208	-0.831428616	-0.72728436	-0.940180561	-0.961595892
-0.0836972	-0.157333376	-0.372314959	-0.044242368	-0.13505007
-0.251569438	-0.229333218	-0.141454125	-0.125303326	0.096746219
0.732067908	0.646542327	1.053911657	0.673695875	0.977537856
-0.331560343	-0.339944237	-0.373018191	-0.348199712	-0.301128395
0.423410922	0.068045899	-0.110135825	0.400675867	0.337153077
-0.036467965	0.041311239	-0.12639957	-0.164856234	0.3320785
0.972240863	1.04601331	0.847978899	1.352841716	0.977126351
-0.385658954	-0.430003443	-0.454651096	-0.59587836	-0.948017432
-0.327742082	-0.40818819	-0.548872809	-0.548120731	-1.162457307
0.263438079	0.528939751	0.492474642	0.379033891	0.557543111
-0.777912457	-0.782965842	-0.209943667	-1.1312968	-1.389270005
-0.44327188	-0.263249503	-0.669247731	-0.428271431	-0.7981051
0.782984987	1.077576373	0.877686314	1.623998534	1.544168944
0.259815357	0.427779386	0.311393318	0.544091905	0.618002613
-0.146259555	-0.372313442	-0.281260949	-0.793844724	-0.455321951
-0.303452036	-0.269809866	-0.484554911	-0.665845494	-0.810910218
1.223528826	0.757554911	0.945539543	0.798086645	1.252727392
-0.743854889	-1.151092615	-1.026559762	-1.850124297	-1.513768656
0.343800364	0.187385093	-0.049699864	0.31943899	0.238743061
0.067578738	-0.262781132	-0.269999819	-0.277749436	-0.028242651
0.356858464	0.266798939	0.167709286	-0.218225943	0.501072407
0.324658767	1.016246545	1.136355337	1.410548179	1.602934101
0.638498555	0.780993843	1.047759996	1.036197121	1.283204629
-0.00856709	0.094341497	-0.181383426	-0.184176139	0.042035174
0.577108321	0.60133265	1.067449821	1.367834747	1.854356714
-0.324624922	-0.706512743	-0.483317876	-0.523652361	-0.878217059
0.374994679	0.261518639	0.493278104	0.462949085	0.839780175
0.07840417	-0.117206789	-0.528652444	-0.363710708	-0.177005116
-0.315813939	0.109011085	-0.521227397	-0.533206977	-0.253821131
0.064359096	-0.725167752	-0.600230247	-1.005518725	-1.306585457
0.288905405	0.26180597	0.020873143	0.195418929	0.515084394
-0.196550391	-0.70572764	-0.41966067	-0.058062691	-0.883307644
-0.088286498	-0.101619906	0.21406859	0.340726349	0.175750744
0.178247528	0.961544242	0.647602424	0.367085068	0.834729197
-0.791809197	-0.203361377	-0.677657947	-1.09710209	-0.75046051
0.93177372	0.736065162	1.195177281	1.234925362	1.42826061
-0.223219251	-0.223316529	-0.209486702	-0.153069121	-0.437186095
0.356674	0.710298481	0.821651029	0.909786189	0.914303703
0.151502804	0.793960016	0.358400728	0.493353926	0.438295948
0.707342302	0.910923101	0.956077531	1.388718971	1.323951434
-0.015378388	0.107377557	-0.031714714	-0.066557314	0.259656864
-0.070028289	-0.378229136	-0.178875531	-0.823438368	-1.013953305
-0.029655802	0.003714599	-0.361764156	-0.088651688	-0.208360001
0.048135355	-0.093633546	-0.452795666	-0.083163682	-0.186726769
-0.112722131	-0.604875199	-0.841949906	-0.847134052	-1.038211476
0.764646793	0.342941132	0.3954228	0.75438863	0.640683408
0.254752268	-0.188980254	0.216019009	0.426438616	0.23096092
0.392099627	0.127226951	0.370140903	0.294058567	0.724537039
0.099539191	0.576100912	0.358186505	0.448752134	0.640452613
-0.111869083	-0.03729539	-0.081846712	-0.155561873	-0.110535014
0.003817079	0.166142501	-0.306583029	0.010350408	-0.242250346
-0.372664262	-0.706582967	-0.47142544	-1.002863165	-0.683345695
0.186053921	0.442458524	0.731474873	0.594265124	0.476072419
-0.654806404	-0.397560816	-0.372564023	-0.364026659	-0.818445254
-0.118260764	-0.066401299	0.158841413	0.019793165	-0.112596189
-1.177940675	-1.37592661	-1.565843606	-2.008777937	-2.372790257
-0.256016465	-0.247130367	-0.097699518	0.064671134	-0.598593244
-0.311066854	-0.590656877	-0.177013782	-0.346379595	-0.620564139
-0.198891755	0.13593709	0.005643562	0.2561518	0.377907432
0.184318227	-0.022592924	0.131621362	0.307603056	0.19584499
